Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,BF(F440),GF(F520),RF(F690),FrF(f740)
D1_1274_1,D1,1274,1,0.053243,0.14581446973324846,0.2473324147229624,0.204973181981814,0.1133247806181594,0.2535846152205961,0.2553488967031964,0.29873345334961243,0.3075136801584203,0.2985988398038665,0.2955385317178171,0.0865348959081759,0.1337367248430083,0.0985344677320663,0.3571978177670674
D1_1274_2,D1,1274,2,0.029641,0.1333178848434819,0.1172693289424288,0.1054751267223375,0.06918751029205,0.1364830456351816,0.2343853395074713,0.2777306980817063,0.295314927792144,0.28146841908223,0.2812672657095793,0.0671120862542156,0.0761884426191902,0.0890552960754729,0.2443081806645604
D1_1274_3,D1,1274,3,0.038444,0.158311054623015,0.1541089379273453,0.1377768171258466,0.0976645285449346,0.1731653081161447,0.2763124538989214,0.3197362086175185,0.3197124325246965,0.315729260525503,0.3098097977260548,0.0734781547111281,0.0878271941742928,0.0956478893639627,0.2603188498165404
D1_1257_1,D1,1257,1,0.041601,0.1693283167016732,0.1794758576452407,0.1664044481839396,0.104162007073624,0.1896921467382134,0.3213877969840539,0.3591011189537153,0.3690849728643684,0.341992139302887,0.3404750132160199,0.0769594266656384,0.0986508339292516,0.0853348591770552,0.2724312263458171
D1_1257_2,D1,1257,2,0.045511499999999996,0.18258774871368305,0.1887404089663925,0.17098176677075125,0.1385301396206466,0.2095122981294839,0.33896529414767695,0.3767432284685569,0.3839989958994552,0.3763123006751091,0.3691302936976816,0.0774319851931019,0.110146479758419,0.0833247787250552,0.308573634668719
D1_1257_3,D1,1257,3,0.049422,0.1958471807256929,0.1980049602875443,0.1755590853575629,0.1161614196427323,0.2293324495207544,0.3565427913113,0.3943853379833984,0.398913018934542,0.4106324620473312,0.3977855741793433,0.0687254241305945,0.0882895355666068,0.0756292985407019,0.2546374282668879
D1_1252_1,D1,1252,1,0.031711,0.1553189904974665,0.1242195146459008,0.1056963507665951,0.06730369892857,0.1476022470775732,0.3123271794637451,0.3421339954995588,0.3922613610082982,0.4066732987090028,0.3910033946639094,0.0702111810794365,0.0759946895528171,0.0781730614485727,0.2741785978368256
D1_1252_2,D1,1252,2,0.053138,0.234057485547103,0.2085321496303367,0.1791667019258072,0.1032645250887169,0.2410047533228559,0.33844930716520794,0.4018044750159845,0.4439450272006542,0.44558614034394006,0.42942886882766435,0.073238708020012,0.0902609803731588,0.0775966164961722,0.2970066637425093
D1_1252_3,D1,1252,3,0.043355,0.1930141901838084,0.1606010146682586,0.143538586162449,0.0857416709730801,0.1776072526641522,0.3645714348666707,0.4614749545324101,0.4956286933930102,0.4844989819788773,0.4678543429914193,0.079668297838401,0.0961882789353128,0.0856776820154521,0.3206245618507425
D1_1235_1,D1,1235,1,0.046952,0.16498802561388,0.1759086414750103,0.167689655621605,0.1170578081819549,0.1903815437598579,0.3031394306552304,0.328952964328766,0.3430968520275849,0.3519924071335658,0.3371508712080026,0.0775122612236688,0.1029467342325409,0.0978421672677996,0.2959677307561845
D1_1235_2,D1,1235,2,0.033071,0.1336591505906781,0.1265059220106272,0.1202978847569234,0.0874525327522902,0.1472740461337589,0.2311968058581805,0.2664948579710096,0.2833923653762125,0.2830656584024954,0.2814306266743768,0.0699951483658682,0.0819076536172757,0.0839300779388815,0.2060232047137199
